session_id,order_id,user_id,restaurant_id,step,cart_size,cart_total_value,cart_avg_price,has_main_course,has_starter,has_side_dish,has_dessert,has_beverage,has_snack,cart_is_complete,cand_item_id,cand_item_name,cand_category,cand_price,cand_is_veg,cand_popularity,price_ratio,cooccur_score,user_segment,user_is_veg,user_avg_spend,user_city,meal_time,is_weekend,label
S0000001,ORD0010003,U01425,R0339,1,1,162.0,162.0,0,0,1,0,0,0,0,I004779,Sprite,beverage,171.0,1,39,1.056,1,occasional,0,227.82,Kolkata,dinner,0,1
S0000001,ORD0010003,U01425,R0339,1,1,162.0,162.0,0,0,1,0,0,0,0,I004780,Kheer,dessert,204.0,1,23,1.259,1,occasional,0,227.82,Kolkata,dinner,0,0
S0000001,ORD0010003,U01425,R0339,1,1,162.0,162.0,0,0,1,0,0,0,0,I004775,Fruit Custard,dessert,258.0,1,74,1.593,1,occasional,0,227.82,Kolkata,dinner,0,0
S0000001,ORD0010003,U01425,R0339,1,1,162.0,162.0,0,0,1,0,0,0,0,I004776,Veg Spring Rolls,starter,216.0,0,88,1.333,0,occasional,0,227.82,Kolkata,dinner,0,0
S0000001,ORD0010003,U01425,R0339,1,1,162.0,162.0,0,0,1,0,0,0,0,I004778,Mini Burgers,snack,176.0,1,61,1.086,0,occasional,0,227.82,Kolkata,dinner,0,0
S0000001,ORD0010003,U01425,R0339,1,1,162.0,162.0,0,0,1,0,0,0,0,I004783,Dal Makhani,main_course,125.0,1,69,0.772,0,occasional,0,227.82,Kolkata,dinner,0,0
S0000001,ORD0010003,U01425,R0339,1,1,162.0,162.0,0,0,1,0,0,0,0,I004773,Raita,side_dish,194.0,1,9,1.198,1,occasional,0,227.82,Kolkata,dinner,0,0
S0000001,ORD0010003,U01425,R0339,1,1,162.0,162.0,0,0,1,0,0,0,0,I004785,Dal Makhani,main_course,129.0,0,85,0.796,1,occasional,0,227.82,Kolkata,dinner,0,0
S0000001,ORD0010003,U01425,R0339,2,2,333.0,166.5,0,0,1,0,1,0,0,I004784,Veg Spring Rolls,starter,147.0,0,23,0.883,3,occasional,0,227.82,Kolkata,dinner,0,1
S0000001,ORD0010003,U01425,R0339,2,2,333.0,166.5,0,0,1,0,1,0,0,I004785,Dal Makhani,main_course,129.0,0,85,0.775,2,occasional,0,227.82,Kolkata,dinner,0,0
S0000001,ORD0010003,U01425,R0339,2,2,333.0,166.5,0,0,1,0,1,0,0,I004773,Raita,side_dish,194.0,1,9,1.165,1,occasional,0,227.82,Kolkata,dinner,0,0
S0000001,ORD0010003,U01425,R0339,2,2,333.0,166.5,0,0,1,0,1,0,0,I004775,Fruit Custard,dessert,258.0,1,74,1.55,1,occasional,0,227.82,Kolkata,dinner,0,0
S0000001,ORD0010003,U01425,R0339,2,2,333.0,166.5,0,0,1,0,1,0,0,I004771,Onion Rings,starter,121.0,1,9,0.727,1,occasional,0,227.82,Kolkata,dinner,0,0
S0000001,ORD0010003,U01425,R0339,2,2,333.0,166.5,0,0,1,0,1,0,0,I004782,Fresh Lime Soda,beverage,254.0,1,22,1.526,1,occasional,0,227.82,Kolkata,dinner,0,0
S0000001,ORD0010003,U01425,R0339,2,2,333.0,166.5,0,0,1,0,1,0,0,I004780,Kheer,dessert,204.0,1,23,1.225,2,occasional,0,227.82,Kolkata,dinner,0,0
S0000001,ORD0010003,U01425,R0339,2,2,333.0,166.5,0,0,1,0,1,0,0,I004777,Chole Bhature,main_course,216.0,1,55,1.297,3,occasional,0,227.82,Kolkata,dinner,0,0
S0000002,ORD0014785,U01073,R0411,1,1,86.0,86.0,1,0,0,0,0,0,0,I005772,Popcorn Chicken,snack,154.0,0,96,1.791,3,mid_range,0,306.63,Mumbai,dinner,0,1
